time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.92837639542782e-07,7.098741708426524e-08,10.006591238080285,7.109008831207575e-05,0.0003093068732713533,0.0,-3.3530190665624096e-05,6.741400330950239e-06,0.21969071209389457,0.0034552156085950634,0.013864082382750142,0.0,472.8311365889132,473.89775088494594,473.2160645682295,473.48188870970665
0.12000000000000001,-1.3104407963575355e-05,3.03714970207187e-06,10.02542360383672,0.0002896517567645418,0.0009612558691438622,0.0,-0.0004764722836243727,0.00011663535504258658,0.40800580426426114,0.00401506377302544,0.004069897568947973,0.0,464.0043443870999,463.23482075470827,464.6569103734477,464.70071904579817
0.18,-6.168354082747797e-05,1.7647758823265852e-05,10.051804914445675,0.0013371822415066958,0.001505530376467945,0.0,-0.0011823460667858886,0.0004407674315693003,0.4713466688190577,0.03588265886362974,0.017557978460424124,0.0,424.9393543343229,426.093731191577,423.7108835858665,426.44132426647894
0.23999999999999996,-0.00017477727698387218,8.734817072536083e-05,10.086939233826536,0.00397987229346608,0.002912843394236475,0.0,-0.0027386123609994257,0.0021769318556636515,0.6996843152447719,0.0567399887543235,0.0332076520643672,0.0,475.39194836698493,476.5894242516955,475.5072501561991,477.1030358179273
0.3,-0.00040506699169149437,0.0003104269510381461,10.131329143515492,0.007305256266520566,0.005037065507134564,0.0,-0.005141807862639909,0.005592315732914896,0.7799251273872205,0.05265098860507869,0.03946824029920608,0.0,430.8783421789844,431.4078050683874,431.2428438563509,430.89953323438266
0.36000000000000004,-0.0008266981832999773,0.0008077778747106751,10.180973540034161,0.01047226466610418,0.00804337973654512,0.0,-0.009190063382732422,0.011305745901203418,0.8748154508295412,0.0530470356121168,0.06565761817563777,0.0,434.4304445933739,436.6221219482627,436.30219854453935,436.3371366797804
0.4200000000000001,-0.0015973272645018756,0.001762662672791902,10.240779613996482,0.01387664989662607,0.012085352199871835,0.0,-0.01698798143597484,0.0209284785517913,1.1185045684205268,0.06325421135516571,0.07057983693915384,0.0,480.7173118927467,481.09312107588056,481.01573494139217,481.7899047436151
0.48000000000000015,-0.0028949900471322925,0.0033343488083093804,10.311866571255438,0.01712071648864555,0.016172303115222775,0.0,-0.026710669080927937,0.031851206730613424,1.2509126509533466,0.020402448598617944,0.06266907548860352,0.0,449.231270259194,448.59285469176274,449.56459716744564,446.0809564882441
0.5400000000000001,-0.004847919558232053,0.00560611875479742,10.390025603026006,0.018767564851149388,0.019897378540777666,0.0,-0.038768694086918444,0.0440222536339967,1.3542615627070134,0.03873504985665179,0.06088978618717846,0.0,439.60552220386177,439.4608980076006,438.89897014186477,440.4179017320406
0.6000000000000002,-0.007659204210202446,0.008701874245255162,10.477201139186128,0.02210425474941058,0.023250747431632135,0.0,-0.0553464658652275,0.059508209258222554,1.5513268569270902,0.07709361048296742,0.04332143939718572,0.0,468.84699892697915,467.48207344165627,467.4865047100698,470.46729330925683
0.6600000000000003,-0.011441965856024139,0.012718656410457668,10.572051933175896,0.026880886036208196,0.02640181479335535,0.0,-0.07102384934284622,0.07483374029291887,1.610266137682392,0.08421838350265634,0.06644790945182331,0.0,425.09371704054763,427.0725205768683,426.0195965359789,426.63367585211694
0.7200000000000003,-0.016301105197719726,0.017820398981665226,10.672999841152942,0.03182713820844629,0.0307894722388129,0.0,-0.09139917889055439,0.09576084130975962,1.7544236024962392,0.07861674820124294,0.0839329194971384,0.0,452.5706078450831,453.9796003912991,453.74463015143743,453.3001080954391
0.7800000000000004,-0.02249481766343544,0.02429680159791948,10.782951205936563,0.0362606479737666,0.036090703709938055,0.0,-0.11562163343491448,0.1206171878551215,1.910335681920557,0.0622030037884301,0.09598063139746005,0.0,456.8404899334531,457.8062421257321,458.35485537435784,457.0526540312828
0.8400000000000004,-0.030317635200952618,0.03241405401217146,10.903716796099904,0.04029426314025564,0.0418073459969035,0.0,-0.14580008361276492,0.1504010753969536,2.1147809596215748,0.07574258598760407,0.09383351219253633,0.0,472.3228884182508,472.1644162020072,472.5530119520256,473.59852813084444
0.9000000000000005,-0.03993796568155469,0.04227325112908653,11.0332407895348,0.04483826944741409,0.04833122798817602,0.0,-0.17548982421302706,0.1786854307154347,2.2024682717333053,0.07571514799374865,0.12849540722388142,0.0,436.3965989437048,439.2901919871749,437.6792302030353,437.6815606705051
0.9600000000000005,-0.05159354000635027,0.05402562559143558,11.170291402098108,0.0496252243289943,0.05688591347649563,0.0,-0.2139293264980543,0.21356283924289596,2.365482400631903,0.08687502706725685,0.1615906393648937,0.0,461.00140279199934,463.6262757446625,460.4839631663073,461.3707039615511
1.0200000000000005,-0.06551974109090139,0.06777725539182777,11.313092585539717,0.0548530340460891,0.06676561452693441,0.0,-0.2511706119205713,0.24529525704592928,2.3944073978403013,0.08763526677237726,0.17018093652562544,0.0,419.21283948101035,419.98613709991326,420.42857402403786,420.501194491235
1.0800000000000005,-0.0821166212098761,0.08373261856833994,11.461257267274824,0.05998473211200306,0.0772064027467021,0.0,-0.30316753879919545,0.2870941115702564,2.5439662545328483,0.0809442658591281,0.1807384535319061,0.0,458.54468293368495,459.41052836081417,458.82595599798134,458.3002170743065
1.1400000000000006,-0.10194011856530857,0.10220914154581189,11.616771304836654,0.06471303652348848,0.08799857936972,0.0,-0.35869589665568635,0.3292547243085922,2.6394799026263467,0.07414409785583924,0.17807551532977106,0.0,442.52017615692085,442.3323420036538,443.7657713010798,443.2122006820125
